exoId;dofId;aim;rangeAdjustable;lowerBoundMinAngle;lowerBoundMaxAngle;upperBoundMinAngle;sizeAdjustable;upperBoundMaxAngle;direction
41;30;Ja;Nee;20;20;180;Nee;180;1
41;31;Ja;Nee;40;40;150;Nee;150;1
122;30;Ja;Nee;25;25;180;Ja;180;1
122;31;Ja;Nee;35;35;140;Ja;140;1
123;21;Nee;Ja;15;90;;Nee;;-1
123;24;Nee;Ja;15;90;;Nee;;-1
141;21;Nee;Nee;;;;Ja;;-1
141;24;Ja;Nee;;;;Ja;;-1
141;37;Nee;Nee;;;;Ja;;-1
175;21;Nee;Nee;;;;Ja;;-1
175;24;Ja;Nee;;;;Ja;;-1
176;30;Ja;Nee;30;30;180;Ja;180;1
176;31;Ja;Nee;45;45;145;Ja;145;1
177;27;Nee;Nee;;;;Nee;;1
